Day,Workstation,Planned Production Time,Downtime,Operating Time,Ideal Cycle Time,Total Count,Good Count,Rejected Count,Availability,Performance,Quality,OEE,Throughput,Theoretical Capacity,Capacity Utilization
6,Packing,480,19.56,460.44,0.8,565,560,5,0.95925,0.9816697072365563,0.9911504424778761,0.9333333333333335,560,600.0,0.9333333333333333
7,Cutting,480,22.39,457.61,0.9,493,482,11,0.9533541666666667,0.9696029369987543,0.9776876267748479,0.9037499999999999,482,533.3333333333334,0.9037499999999999
7,Machining,480,51.84,428.16,2.4,174,170,4,0.892,0.975336322869955,0.9770114942528736,0.8499999999999999,170,200.0,0.85
7,Assembly,480,30.45,449.55,1.6,267,264,3,0.9365625000000001,0.9502836169502837,0.9887640449438202,0.8800000000000002,264,300.0,0.88
7,Inspection,480,16.62,463.38,1.0,427,422,5,0.965375,0.921489921878372,0.9882903981264637,0.8791666666666667,422,480.0,0.8791666666666667
7,Packing,480,14.72,465.28,0.8,556,548,8,0.9693333333333333,0.9559834938101789,0.9856115107913669,0.9133333333333333,548,600.0,0.9133333333333333
8,Cutting,480,24.99,455.01,0.9,480,470,10,0.9479375,0.9494296828641129,0.9791666666666666,0.88125,470,533.3333333333334,0.88125
8,Machining,480,41.86,438.14,2.4,169,166,3,0.9127916666666667,0.9257315013466015,0.9822485207100592,0.83,166,200.0,0.83
8,Assembly,480,23.22,456.78,1.6,281,275,6,0.9516249999999999,0.9842812732606507,0.9786476868327402,0.9166666666666666,275,300.0,0.9166666666666666
8,Inspection,480,24.5,455.5,1.0,447,441,6,0.9489583333333333,0.9813391877058177,0.9865771812080537,0.9187500000000001,441,480.0,0.91875
8,Packing,480,12.8,467.2,0.8,574,568,6,0.9733333333333333,0.9828767123287673,0.9895470383275261,0.9466666666666668,568,600.0,0.9466666666666667
9,Cutting,480,36.15,443.85,0.9,485,478,7,0.9246875,0.9834403514700912,0.9855670103092784,0.89625,478,533.3333333333334,0.89625
9,Machining,480,38.3,441.7,2.4,172,168,4,0.9202083333333333,0.9345709757754133,0.9767441860465116,0.84,168,200.0,0.84
9,Assembly,480,36.36,443.64,1.6,272,269,3,0.92425,0.9809755657740512,0.9889705882352942,0.8966666666666668,269,300.0,0.8966666666666666
9,Inspection,480,22.66,457.34,1.0,434,431,3,0.9527916666666666,0.9489657585166398,0.9930875576036866,0.8979166666666667,431,480.0,0.8979166666666667
9,Packing,480,11.8,468.2,0.8,552,544,8,0.9754166666666666,0.9431866723622384,0.9855072463768116,0.9066666666666667,544,600.0,0.9066666666666666
10,Cutting,480,26.46,453.54,0.9,482,472,10,0.944875,0.9564757243021563,0.979253112033195,0.8849999999999999,472,533.3333333333334,0.8849999999999999
10,Machining,480,45.91,434.09,2.4,179,174,5,0.9043541666666666,0.9896565228408855,0.9720670391061452,0.8699999999999998,174,200.0,0.87
10,Assembly,480,25.04,454.96,1.6,271,267,4,0.9478333333333333,0.9530508176542993,0.985239852398524,0.89,267,300.0,0.89
10,Inspection,480,19.27,460.73,1.0,425,420,5,0.9598541666666667,0.9224491567729473,0.9882352941176471,0.875,420,480.0,0.875
10,Packing,480,17.54,462.46,0.8,534,530,4,0.9634583333333333,0.9237555680491287,0.9925093632958801,0.8833333333333334,530,600.0,0.8833333333333333
11,Cutting,480,38.17,441.83,0.9,460,454,6,0.9204791666666666,0.9370119729307652,0.9869565217391304,0.85125,454,533.3333333333334,0.85125
11,Machining,480,49.68,430.32,2.4,177,174,3,0.8965,0.9871723368655885,0.9830508474576272,0.87,174,200.0,0.87
11,Assembly,480,33.44,446.56,1.6,272,268,4,0.9303333333333333,0.9745610892153351,0.9852941176470589,0.8933333333333335,268,300.0,0.8933333333333333
11,Inspection,480,25.92,454.08,1.0,429,424,5,0.946,0.9447674418604651,0.9883449883449883,0.8833333333333332,424,480.0,0.8833333333333333
11,Packing,480,19.5,460.5,0.8,551,548,3,0.959375,0.9572204125950055,0.9945553539019963,0.9133333333333333,548,600.0,0.9133333333333333
12,Cutting,480,36.71,443.29,0.9,464,458,6,0.9235208333333333,0.9420469669967741,0.9870689655172413,0.8587499999999999,458,533.3333333333334,0.8587499999999999
12,Machining,480,36.22,443.78,2.4,178,174,4,0.9245416666666666,0.9626391455225562,0.9775280898876404,0.8699999999999999,174,200.0,0.87
12,Assembly,480,20.33,459.67,1.6,275,271,4,0.9576458333333334,0.9572084321360976,0.9854545454545455,0.9033333333333334,271,300.0,0.9033333333333333
12,Inspection,480,24.68,455.32,1.0,424,419,5,0.9485833333333333,0.9312132126855838,0.9882075471698113,0.8729166666666666,419,480.0,0.8729166666666667
12,Packing,480,15.8,464.2,0.8,572,568,4,0.9670833333333333,0.9857819905213271,0.993006993006993,0.9466666666666668,568,600.0,0.9466666666666667
13,Cutting,480,26.82,453.18,0.9,467,456,11,0.944125,0.9274460479279757,0.9764453961456103,0.8550000000000001,456,533.3333333333334,0.855
13,Machining,480,61.32,418.68,2.4,164,160,4,0.87225,0.9400974491258239,0.975609756097561,0.7999999999999999,160,200.0,0.8
13,Assembly,480,36.34,443.66,1.6,266,261,5,0.9242916666666667,0.9592931524140107,0.981203007518797,0.87,261,300.0,0.87
13,Inspection,480,18.63,461.37,1.0,427,421,6,0.9611875,0.9255044758003338,0.9859484777517564,0.8770833333333332,421,480.0,0.8770833333333333
13,Packing,480,23.51,456.49,0.8,550,545,5,0.9510208333333333,0.9638765361782295,0.990909090909091,0.9083333333333333,545,600.0,0.9083333333333333
14,Cutting,480,26.98,453.02,0.9,489,478,11,0.9437916666666666,0.9714802878460113,0.9775051124744376,0.89625,478,533.3333333333334,0.89625
14,Machining,480,61.61,418.39,2.4,170,166,4,0.8716458333333333,0.9751667104854322,0.9764705882352941,0.83,166,200.0,0.83
14,Assembly,480,21.68,458.32,1.6,267,261,6,0.9548333333333333,0.932099842904521,0.9775280898876404,0.8700000000000001,261,300.0,0.87
14,Inspection,480,24.1,455.9,1.0,420,417,3,0.9497916666666666,0.9212546611098925,0.9928571428571429,0.8687499999999999,417,480.0,0.86875
14,Packing,480,19.95,460.05,0.8,529,526,3,0.9584375,0.9199000108683839,0.994328922495274,0.8766666666666667,526,600.0,0.8766666666666667
15,Cutting,480,30.97,449.03,0.9,483,473,10,0.9354791666666666,0.9680867648041334,0.979296066252588,0.8868750000000001,473,533.3333333333334,0.886875
15,Machining,480,41.73,438.27,2.4,177,174,3,0.9130625,0.9692655212540215,0.9830508474576272,0.87,174,200.0,0.87
15,Assembly,480,26.51,453.49,1.6,276,271,5,0.9447708333333333,0.973781119760083,0.9818840579710145,0.9033333333333334,271,300.0,0.9033333333333333
15,Inspection,480,27.74,452.26,1.0,437,432,5,0.9422083333333333,0.966258346968558,0.988558352402746,0.9,432,480.0,0.9
15,Packing,480,11.41,468.59,0.8,554,550,4,0.9762291666666666,0.9458161719200155,0.9927797833935018,0.9166666666666667,550,600.0,0.9166666666666666
16,Cutting,480,24.88,455.12,0.9,500,492,8,0.9481666666666667,0.9887502197222711,0.984,0.9225000000000001,492,533.3333333333334,0.9225
16,Machining,480,61.76,418.24,2.4,168,163,5,0.8713333333333334,0.9640397857689365,0.9702380952380952,0.8150000000000001,163,200.0,0.815
16,Assembly,480,30.05,449.95,1.6,270,265,5,0.9373958333333333,0.9601066785198356,0.9814814814814815,0.8833333333333334,265,300.0,0.8833333333333333
16,Inspection,480,17.93,462.07,1.0,448,445,3,0.9626458333333333,0.9695500681714891,0.9933035714285714,0.9270833333333333,445,480.0,0.9270833333333334
16,Packing,480,10.36,469.64,0.8,567,563,4,0.9784166666666666,0.9658461800528065,0.9929453262786596,0.9383333333333334,563,600.0,0.9383333333333334
17,Cutting,480,38.81,441.19,0.9,484,473,11,0.9191458333333333,0.9873297218885289,0.9772727272727273,0.8868750000000001,473,533.3333333333334,0.886875
17,Machining,480,46.1,433.9,2.4,167,162,5,0.9039583333333333,0.9237151417377276,0.9700598802395209,0.8099999999999999,162,200.0,0.81
17,Assembly,480,28.56,451.44,1.6,279,272,7,0.9405,0.9888357256778311,0.974910394265233,0.9066666666666668,272,300.0,0.9066666666666666
17,Inspection,480,27.8,452.2,1.0,425,421,4,0.9420833333333333,0.9398496240601504,0.9905882352941177,0.8770833333333333,421,480.0,0.8770833333333333
17,Packing,480,22.77,457.23,0.8,538,534,4,0.9525625000000001,0.9413205607681037,0.9925650557620818,0.8900000000000001,534,600.0,0.89
18,Cutting,480,31.14,448.86,0.9,492,482,10,0.935125,0.9864991311322016,0.9796747967479674,0.9037499999999999,482,533.3333333333334,0.9037499999999999
18,Machining,480,52.1,427.9,2.4,165,161,4,0.8914583333333332,0.9254498714652957,0.9757575757575757,0.8049999999999999,161,200.0,0.805
18,Assembly,480,39.8,440.2,1.6,256,251,5,0.9170833333333334,0.9304861426624262,0.98046875,0.8366666666666667,251,300.0,0.8366666666666667
18,Inspection,480,28.16,451.84,1.0,439,434,5,0.9413333333333332,0.9715828611898017,0.9886104783599089,0.9041666666666667,434,480.0,0.9041666666666667
18,Packing,480,20.54,459.46,0.8,543,539,4,0.9572083333333333,0.9454577112262222,0.992633517495396,0.8983333333333335,539,600.0,0.8983333333333333
19,Cutting,480,36.19,443.81,0.9,482,471,11,0.9246041666666667,0.9774453031702756,0.9771784232365145,0.8831249999999999,471,533.3333333333334,0.8831249999999999
19,Machining,480,62.4,417.6,2.4,166,162,4,0.87,0.9540229885057471,0.9759036144578314,0.8099999999999999,162,200.0,0.81
19,Assembly,480,35.97,444.03,1.6,268,262,6,0.9250624999999999,0.9657005157309192,0.9776119402985075,0.8733333333333334,262,300.0,0.8733333333333333
19,Inspection,480,26.94,453.06,1.0,445,441,4,0.943875,0.9822098618284554,0.9910112359550561,0.91875,441,480.0,0.91875
19,Packing,480,15.63,464.37,0.8,538,532,6,0.9674375000000001,0.9268471262140104,0.9888475836431226,0.8866666666666668,532,600.0,0.8866666666666667
20,Cutting,480,20.72,459.28,0.9,486,477,9,0.9568333333333333,0.9523602159902458,0.9814814814814815,0.8943750000000001,477,533.3333333333334,0.8943749999999999
20,Machining,480,43.6,436.4,2.4,175,172,3,0.9091666666666666,0.9624197983501376,0.9828571428571429,0.86,172,200.0,0.86
20,Assembly,480,20.75,459.25,1.6,281,277,4,0.9567708333333333,0.9789874795862821,0.9857651245551602,0.9233333333333335,277,300.0,0.9233333333333333
20,Inspection,480,16.91,463.09,1.0,443,437,6,0.9647708333333332,0.9566175041568594,0.9864559819413092,0.9104166666666665,437,480.0,0.9104166666666667
20,Packing,480,13.24,466.76,0.8,562,559,3,0.9724166666666666,0.9632359242437227,0.994661921708185,0.9316666666666666,559,600.0,0.9316666666666666
21,Cutting,480,21.03,458.97,0.9,488,479,9,0.9561875000000001,0.9569252892345904,0.9815573770491803,0.8981250000000001,479,533.3333333333334,0.898125
21,Machining,480,54.12,425.88,2.4,172,167,5,0.88725,0.969287123133277,0.9709302325581395,0.835,167,200.0,0.835
21,Assembly,480,30.33,449.67,1.6,265,259,6,0.9368125,0.9429136922632152,0.9773584905660377,0.8633333333333333,259,300.0,0.8633333333333333
21,Inspection,480,19.06,460.94,1.0,438,435,3,0.9602916666666667,0.9502321343341866,0.9931506849315068,0.90625,435,480.0,0.90625
21,Packing,480,10.38,469.62,0.8,580,572,8,0.978375,0.9880328776457561,0.9862068965517241,0.9533333333333333,572,600.0,0.9533333333333334
22,Cutting,480,33.92,446.08,0.9,470,464,6,0.9293333333333333,0.9482604017216643,0.9872340425531915,0.87,464,533.3333333333334,0.8699999999999999
22,Machining,480,39.69,440.31,2.4,172,168,4,0.9173125,0.9375212918171288,0.9767441860465116,0.84,168,200.0,0.84
22,Assembly,480,34.29,445.71,1.6,269,265,4,0.9285625,0.9656503107401675,0.9851301115241635,0.8833333333333333,265,300.0,0.8833333333333333
22,Inspection,480,29.32,450.68,1.0,438,433,5,0.9389166666666667,0.971864737729653,0.9885844748858448,0.9020833333333335,433,480.0,0.9020833333333333
22,Packing,480,19.18,460.82,0.8,547,543,4,0.9600416666666667,0.9496115619981772,0.9926873857404022,0.905,543,600.0,0.905
23,Cutting,480,27.12,452.88,0.9,490,485,5,0.9435,0.9737678855325914,0.9897959183673469,0.9093749999999999,485,533.3333333333334,0.9093749999999999
23,Machining,480,38.48,441.52,2.4,170,167,3,0.9198333333333333,0.9240804493567676,0.9823529411764705,0.835,167,200.0,0.835
23,Assembly,480,37.11,442.89,1.6,268,263,5,0.9226875,0.9681862313441262,0.9813432835820896,0.8766666666666667,263,300.0,0.8766666666666667
23,Inspection,480,16.47,463.53,1.0,442,438,4,0.9656874999999999,0.9535520894009019,0.9909502262443439,0.9125000000000001,438,480.0,0.9125
23,Packing,480,12.6,467.4,0.8,555,550,5,0.97375,0.9499358151476253,0.990990990990991,0.9166666666666669,550,600.0,0.9166666666666666
24,Cutting,480,32.32,447.68,0.9,480,475,5,0.9326666666666666,0.9649749821300929,0.9895833333333334,0.890625,475,533.3333333333334,0.8906249999999999
24,Machining,480,46.24,433.76,2.4,174,170,4,0.9036666666666666,0.9627443747694577,0.9770114942528736,0.8499999999999999,170,200.0,0.85
24,Assembly,480,37.13,442.87,1.6,267,264,3,0.9226458333333334,0.9646171562761082,0.9887640449438202,0.8800000000000001,264,300.0,0.88
24,Inspection,480,16.06,463.94,1.0,448,446,2,0.9665416666666666,0.9656421088933914,0.9955357142857143,0.9291666666666667,446,480.0,0.9291666666666667
24,Packing,480,18.79,461.21,0.8,568,562,6,0.9608541666666667,0.9852344918800547,0.9894366197183099,0.9366666666666668,562,600.0,0.9366666666666666
25,Cutting,480,27.76,452.24,0.9,485,477,8,0.9421666666666667,0.9651954714310985,0.9835051546391752,0.894375,477,533.3333333333334,0.8943749999999999
25,Machining,480,51.37,428.63,2.4,176,172,4,0.8929791666666667,0.9854653197396356,0.9772727272727273,0.86,172,200.0,0.86
25,Assembly,480,39.22,440.78,1.6,271,267,4,0.9182916666666666,0.9837106946776171,0.985239852398524,0.8900000000000001,267,300.0,0.89
25,Inspection,480,16.04,463.96,1.0,430,428,2,0.9665833333333332,0.9268040348305889,0.9953488372093023,0.8916666666666667,428,480.0,0.8916666666666667
25,Packing,480,11.42,468.58,0.8,567,564,3,0.9762083333333333,0.9680310726023306,0.9947089947089947,0.9400000000000002,564,600.0,0.94
26,Cutting,480,26.38,453.62,0.9,494,489,5,0.9450416666666667,0.9801155151889247,0.9898785425101214,0.916875,489,533.3333333333334,0.9168749999999999
26,Machining,480,59.43,420.57,2.4,165,162,3,0.8761875,0.9415792852557244,0.9818181818181818,0.81,162,200.0,0.81
26,Assembly,480,33.93,446.07,1.6,269,263,6,0.9293125,0.9648709843746498,0.9776951672862454,0.8766666666666667,263,300.0,0.8766666666666667
26,Inspection,480,26.03,453.97,1.0,443,440,3,0.9457708333333333,0.9758354076260545,0.9932279909706546,0.9166666666666666,440,480.0,0.9166666666666666
26,Packing,480,12.66,467.34,0.8,568,561,7,0.973625,0.972311379295588,0.9876760563380281,0.935,561,600.0,0.935
27,Cutting,480,39.81,440.19,0.9,464,457,7,0.9170625,0.9486812512778573,0.9849137931034483,0.856875,457,533.3333333333334,0.8568749999999999
27,Machining,480,58.29,421.71,2.4,166,161,5,0.8785624999999999,0.9447250480187807,0.9698795180722891,0.8049999999999998,161,200.0,0.805
27,Assembly,480,37.17,442.83,1.6,263,257,6,0.9225625,0.9502517896258158,0.9771863117870723,0.8566666666666666,257,300.0,0.8566666666666667
27,Inspection,480,26.32,453.68,1.0,421,415,6,0.9451666666666667,0.927966848880268,0.9857482185273159,0.8645833333333333,415,480.0,0.8645833333333334
27,Packing,480,17.58,462.42,0.8,565,560,5,0.963375,0.9774663725617404,0.9911504424778761,0.9333333333333333,560,600.0,0.9333333333333333
28,Cutting,480,37.91,442.09,0.9,465,460,5,0.9210208333333333,0.9466398244701306,0.989247311827957,0.8625,460,533.3333333333334,0.8624999999999999
28,Machining,480,62.16,417.84,2.4,161,158,3,0.8704999999999999,0.9247558874210224,0.9813664596273292,0.7899999999999999,158,200.0,0.79
28,Assembly,480,39.0,441.0,1.6,272,267,5,0.91875,0.9868480725623584,0.9816176470588235,0.89,267,300.0,0.89
28,Inspection,480,24.48,455.52,1.0,433,430,3,0.949,0.950561995082543,0.9930715935334873,0.8958333333333333,430,480.0,0.8958333333333334
28,Packing,480,14.93,465.07,0.8,562,555,7,0.9688958333333333,0.96673619025093,0.9875444839857651,0.925,555,600.0,0.925
29,Cutting,480,35.83,444.17,0.9,481,476,5,0.9253541666666667,0.9746268320688025,0.9896049896049897,0.8925000000000002,476,533.3333333333334,0.8925
29,Machining,480,49.83,430.17,2.4,166,162,4,0.8961875,0.926145477369412,0.9759036144578314,0.8099999999999999,162,200.0,0.81
29,Assembly,480,28.83,451.17,1.6,277,273,4,0.9399375,0.98233481836115,0.9855595667870036,0.9100000000000001,273,300.0,0.91
29,Inspection,480,16.76,463.24,1.0,431,426,5,0.9650833333333334,0.9304032466971764,0.988399071925754,0.8875000000000002,426,480.0,0.8875
29,Packing,480,19.27,460.73,0.8,534,531,3,0.9598541666666667,0.927224187702125,0.9943820224719101,0.8850000000000001,531,600.0,0.885
30,Cutting,480,34.02,445.98,0.9,458,448,10,0.9291250000000001,0.9242566931252522,0.9781659388646288,0.84,448,533.3333333333334,0.84
30,Machining,480,56.19,423.81,2.4,163,160,3,0.8829375,0.9230551426346711,0.9815950920245399,0.7999999999999999,160,200.0,0.8
30,Assembly,480,39.73,440.27,1.6,260,256,4,0.9172291666666667,0.9448747359574807,0.9846153846153847,0.8533333333333334,256,300.0,0.8533333333333334
30,Inspection,480,27.19,452.81,1.0,447,440,7,0.9433541666666667,0.9871690112850865,0.9843400447427293,0.9166666666666667,440,480.0,0.9166666666666666
30,Packing,480,21.3,458.7,0.8,543,540,3,0.955625,0.9470241988227601,0.994475138121547,0.9000000000000001,540,600.0,0.9
